"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
t4tranm,day_4_thursday_daily_survey,,radio,"<font size=""5.5"">1. Did you translate something from English to Spanish for your <font color=""red"">mother</font> today?

<font color=""green"">¿Tradujiste algo del inglés al español para tu <font color=""red"">madre</font> el día de hoy?</font>","1, <font size=""4.5""> 1 Yes<br><font color=""green"">Sí</font> | 2, <font size=""4.5""> 2 No<br><font color=""green"">No</font>",,,,,,,,,,,,
t4stre1,day_4_thursday_daily_survey,,descriptive,"<font size=""5.5"">How stressed did you feel when you translated the following things from English to Spanish for your <font color=""red"">mother</font> today?</font>

<font size=""5.5""><font color=""green"">¿Qué tan estresado/a te sentiste cuando tradujiste lo siguiente del inglés al español para tu <font color=""red"">madre</font> el día de hoy?</font></font>",,,,,,,,,,,,,
t4mstr1,day_4_thursday_daily_survey,,radio,"<font size=""5.5"">1. Phone calls, text messages, or voicemails <span style=""font-weight:normal;"">(for your <font color=""red"">mother</font>)</span></font>

<font size=""5.5""><font color=""green"">Llamadas telefónicas, mensajes de texto, o correos de voz <span style=""font-weight:normal;"">(para tu <font color=""red"">madre</font>)</span></font>","1, <font size=""4.5""> 1 I didn't translate this for my mother today<br><font color=""green"">No traduje esto para mi madre hoy</font> | 2, <font size=""4.5""> 2 Not stressful<br><font color=""green"">Nada estresante</font> | 3, <font size=""4.5""> 3 A little stressful<br><font color=""green"">Un poco estresante</font> | 4, <font size=""4.5""> 4 Somewhat stressful<br><font color=""green"">Algo estresante</font> | 5, <font size=""4.5""> 5 Very stressful<br><font color=""green"">Muy estresante</font> | 6, <font size=""4.5""> 6 Extremely stressful <br><font color=""green"">Extremadamente estresante</font>",,,,,,,,,,,,
t4mstr2,day_4_thursday_daily_survey,,radio,"<font size=""5.5"">2. Explaining the use of products <span style=""font-weight:normal;"">(for your <font color=""red"">mother</font>)</span>

<font color=""green"">Explicando el uso de productos <span style=""font-weight:normal;"">(para tu <font color=""red"">madre</font>)</span></font></font>","1, <font size=""4.5""> 1 I didn't translate this for my mother today<br><font color=""green"">No traduje esto para mi madre hoy</font> | 2, <font size=""4.5""> 2 Not stressful<br><font color=""green"">Nada estresante</font> | 3, <font size=""4.5""> 3 A little stressful<br><font color=""green"">Un poco estresante</font> | 4, <font size=""4.5""> 4 Somewhat stressful<br><font color=""green"">Algo estresante</font> | 5, <font size=""4.5""> 5 Very stressful<br><font color=""green"">Muy estresante</font> | 6, <font size=""4.5""> 6 Extremely stressful <br><font color=""green"">Extremadamente estresante</font>",,,,,,,,,,,,
t4mstr3,day_4_thursday_daily_survey,,radio,"<font size=""5.5"">3. Entertainment (television shows, movies, music) <span style=""font-weight:normal;"">(for your <font color=""red"">mother</font>)</span>

<font color=""green"">Entretenimiento (programas de televisión, películas y música) <span style=""font-weight:normal;"">(para tu <font color=""red"">madre</font>)</span></font>","1, <font size=""4.5""> 1 I didn't translate this for my mother today<br><font color=""green"">No traduje esto para mi madre hoy</font> | 2, <font size=""4.5""> 2 Not stressful<br><font color=""green"">Nada estresante</font> | 3, <font size=""4.5""> 3 A little stressful<br><font color=""green"">Un poco estresante</font> | 4, <font size=""4.5""> 4 Somewhat stressful<br><font color=""green"">Algo estresante</font> | 5, <font size=""4.5""> 5 Very stressful<br><font color=""green"">Muy estresante</font> | 6, <font size=""4.5""> 6 Extremely stressful <br><font color=""green"">Extremadamente estresante</font>",,,,,,,,,,,,
t4mstr4,day_4_thursday_daily_survey,,radio,"<font size=""5.5"">4. Use of technology (computer, Internet, smartphone, tablet) <span style=""font-weight:normal;"">(for your <font color=""red"">mother</font>)</span>

<font color=""green"">Uso de tecnología (computadora, Internet, celular, tableta) <span style=""font-weight:normal;"">(para tu <font color=""red"">madre</font>)</span></font>","1, <font size=""4.5""> 1 I didn't translate this for my mother today<br><font color=""green"">No traduje esto para mi madre hoy</font> | 2, <font size=""4.5""> 2 Not stressful<br><font color=""green"">Nada estresante</font> | 3, <font size=""4.5""> 3 A little stressful<br><font color=""green"">Un poco estresante</font> | 4, <font size=""4.5""> 4 Somewhat stressful<br><font color=""green"">Algo estresante</font> | 5, <font size=""4.5""> 5 Very stressful<br><font color=""green"">Muy estresante</font> | 6, <font size=""4.5""> 6 Extremely stressful <br><font color=""green"">Extremadamente estresante</font>",,,,,,,,,,,,
t4mstr5,day_4_thursday_daily_survey,,radio,"<font size=""5.5"">5. Receipts, prices, or other things at a store <span style=""font-weight:normal;"">(for your <font color=""red"">mother</font>)</span>

<font color=""green"">Recibos de pago, precios u otras cosas en una tienda <span style=""font-weight:normal;"">(para tu <font color=""red"">madre</font>)</span></font>","1, <font size=""4.5""> 1 I didn't translate this for my mother today<br><font color=""green"">No traduje esto para mi madre hoy</font> | 2, <font size=""4.5""> 2 Not stressful<br><font color=""green"">Nada estresante</font> | 3, <font size=""4.5""> 3 A little stressful<br><font color=""green"">Un poco estresante</font> | 4, <font size=""4.5""> 4 Somewhat stressful<br><font color=""green"">Algo estresante</font> | 5, <font size=""4.5""> 5 Very stressful<br><font color=""green"">Muy estresante</font> | 6, <font size=""4.5""> 6 Extremely stressful <br><font color=""green"">Extremadamente estresante</font>",,,,,,,,,,,,
t4mstr6,day_4_thursday_daily_survey,,radio,"<font size=""5.5"">6. Explaining work notices, manuals, or instructions for your <font color=""red"">mother's </font>job

<font size=""5.5""><font color=""green"">Explicando avisos del trabajo, manuales, o instrucciones para el trabajo de tu <font color=""red"">madre</font></font>","1, <font size=""4.5""> 1 I didn't translate this for my mother today<br><font color=""green"">No traduje esto para mi madre hoy</font> | 2, <font size=""4.5""> 2 Not stressful<br><font color=""green"">Nada estresante</font> | 3, <font size=""4.5""> 3 A little stressful<br><font color=""green"">Un poco estresante</font> | 4, <font size=""4.5""> 4 Somewhat stressful<br><font color=""green"">Algo estresante</font> | 5, <font size=""4.5""> 5 Very stressful<br><font color=""green"">Muy estresante</font> | 6, <font size=""4.5""> 6 Extremely stressful <br><font color=""green"">Extremadamente estresante</font>",,,,,,,,,,,,
t4mstr7,day_4_thursday_daily_survey,,radio,"<font size=""5.5"">7. Filling out applications (for job, housing, insurance) <span style=""font-weight:normal;"">(for your <font color=""red"">mother</font>)</span></font>

<font size=""5.5""><font color=""green"">Llenando solicitudes (de trabajo, estancia, seguro) <span style=""font-weight:normal;"">(para tu <font color=""red"">madre</font>)</span></font></font>","1, <font size=""4.5""> 1 I didn't translate this for my mother today<br><font color=""green"">No traduje esto para mi madre hoy</font> | 2, <font size=""4.5""> 2 Not stressful<br><font color=""green"">Nada estresante</font> | 3, <font size=""4.5""> 3 A little stressful<br><font color=""green"">Un poco estresante</font> | 4, <font size=""4.5""> 4 Somewhat stressful<br><font color=""green"">Algo estresante</font> | 5, <font size=""4.5""> 5 Very stressful<br><font color=""green"">Muy estresante</font> | 6, <font size=""4.5""> 6 Extremely stressful <br><font color=""green"">Extremadamente estresante</font>",,,,,,,,,,,,
t4mstr8,day_4_thursday_daily_survey,,radio,"<font size=""5.5"">8. Filling out government documents or other legal documents <span style=""font-weight:normal;"">(for your <font color=""red"">mother</font>)</span></font>

<font size=""5.5""><font color=""green""> Llenando documentos del gobierno u otros documentos legales <span style=""font-weight:normal;"">(para tu <font color=""red"">madre</font>)</span></font></font>","1, <font size=""4.5""> 1 I didn't translate this for my mother today<br><font color=""green"">No traduje esto para mi madre hoy</font> | 2, <font size=""4.5""> 2 Not stressful<br><font color=""green"">Nada estresante</font> | 3, <font size=""4.5""> 3 A little stressful<br><font color=""green"">Un poco estresante</font> | 4, <font size=""4.5""> 4 Somewhat stressful<br><font color=""green"">Algo estresante</font> | 5, <font size=""4.5""> 5 Very stressful<br><font color=""green"">Muy estresante</font> | 6, <font size=""4.5""> 6 Extremely stressful <br><font color=""green"">Extremadamente estresante</font>",,,,,,,,,,,,
t4mstr9,day_4_thursday_daily_survey,,radio,"<font size=""5.5"">9. Bills (telephone, gas, water, or electricity) <span style=""font-weight:normal;"">(for your <font color=""red"">mother</font>)</span></font>

<font size=""5.5""><font color=""green""> Facturas (recibos de teléfono, gas, agua, o electricidad) <span style=""font-weight:normal;"">(para tu <font color=""red"">madre</font>)</span></font></font>","1, <font size=""4.5""> 1 I didn't translate this for my mother today<br><font color=""green"">No traduje esto para mi madre hoy</font> | 2, <font size=""4.5""> 2 Not stressful<br><font color=""green"">Nada estresante</font> | 3, <font size=""4.5""> 3 A little stressful<br><font color=""green"">Un poco estresante</font> | 4, <font size=""4.5"">4 Somewhat stressful<br><font color=""green"">Algo estresante</font> | 5, <font size=""4.5""> 5 Very stressful<br><font color=""green"">Muy estresante</font> | 6, <font size=""4.5""> 6 Extremely stressful <br><font color=""green"">Extremadamente estresante</font>",,,,,,,,,,,,
t4mstr10,day_4_thursday_daily_survey,,radio,"<font size=""5.5"">10. In-person conversations <span style=""font-weight:normal;"">(for your <font color=""red"">mother</font>)</span></font>

<font size=""5.5""><font color=""green""> Conversaciones en persona <span style=""font-weight:normal;"">(para tu <font color=""red"">madre</font>)</span></font></font>","1, <font size=""4.5""> 1 I didn't translate this for my mother today<br><font color=""green"">No traduje esto para mi madre hoy</font> | 2, <font size=""4.5""> 2 Not stressful<br><font color=""green"">Nada estresante</font> | 3, <font size=""4.5""> 3 A little stressful<br><font color=""green"">Un poco estresante</font> | 4, <font size=""4.5"">4 Somewhat stressful<br><font color=""green"">Algo estresante</font> | 5, <font size=""4.5""> 5 Very stressful<br><font color=""green"">Muy estresante</font> | 6, <font size=""4.5""> 6 Extremely stressful <br><font color=""green"">Extremadamente estresante</font>",,,,,,,,,,,,
t4mstr11,day_4_thursday_daily_survey,,radio,"<font size=""5.5"">11. Signs or directions <span style=""font-weight:normal;"">(for your <font color=""red"">mother</font>)</span></font>

<font size=""5.5""><font color=""green""> Letreros o direcciones <span style=""font-weight:normal;"">(para tu <font color=""red"">madre</font>)</span></font></font>","1, <font size=""4.5""> 1 I didn't translate this for my mother today<br><font color=""green"">No traduje esto para mi madre hoy</font> | 2, <font size=""4.5""> 2 Not stressful<br><font color=""green"">Nada estresante</font> | 3, <font size=""4.5""> 3 A little stressful<br><font color=""green"">Un poco estresante</font> | 4, <font size=""4.5"">4 Somewhat stressful<br><font color=""green"">Algo estresante</font> | 5, <font size=""4.5""> 5 Very stressful<br><font color=""green"">Muy estresante</font> | 6, <font size=""4.5""> 6 Extremely stressful <br><font color=""green"">Extremadamente estresante</font>",,,,,,,,,,,,
t4fathe,day_4_thursday_daily_survey,"<font size=""5.5""><center>Section 1B/<font color=""green"">Sección 1B</font>
</center>",radio,"<font size='5.5'> When you answer questions about your <font color=""blue""> father</font>, will you refer to your _______?

<span style = ""color:green"">Cuando respondas preguntas sobre tu <font color=""blue""> padre</font>, ¿te referirás a tu _________?</span></font>","1, <font size='4.5'> 1 Father <br><span style=""color:green"">Padre </span> | 2, <font size='4.5'> 2 Stepfather <br><span style=""color:green"">Padrastro </span> | 3, <font size='4.5'> 3 Other<br><span style=""color:green"">Otro</span>",,,,,,,,,,,,
t4qfath,day_4_thursday_daily_survey,,text,"<font size='5.5'> Please specify.
<span style = ""color:green"">Por favor, especifica.</span>

<span style=""font-weight:normal;"">(When you answer questions about your <font color=""blue""> father</font>, will you refer to your _______?)
<span style= ""color:green"">(Cuando respondas preguntas sobre tu <font color=""blue""> padre</font>, ¿te referirás a tu _________?)</span>",,,,,,,"[t4fathe]= '3'",,,,,,
t4fait,day_4_thursday_daily_survey,,descriptive,"<div style=""background-color:white;border:1px solid black;font-weight:normal""> <font size='5.5'>
For the rest of the survey, always think about this same person when answering questions about your ""<font color=""blue"">Father</font>"".

<span style=""color:green""> Para el resto de la encuesta, siempre piensa en esta misma persona cuando respondas preguntas sobre tu ""<font color=""blue"">Padre</font>"". </span style>
</font>

</div>",,,,,,,,,,,,,
t4fint,day_4_thursday_daily_survey,,checkbox,"<font size='5.5'> I interacted with my <font color=""blue"">father</font> today:

<span style = ""color:green"">Yo interactúe con mi <font color=""blue"">padre</font> hoy:</span>","0, <font size=""4.5""> 0 I did not interact with my father today<br><font color=""green""> Yo no interactúe con mi padre hoy</font> | 1, <font size=""4.5"">1 In person<br><font color=""green""> En persona </font> | 2, <font size=""4.5"">2 Video call<br><font color=""green""> Videollamada </font> | 3, <font size='4.5'> 3 Phone call<br><span style=""color:green"">Llamada telefónica </span> | 4, <font size='4.5'> 4 Text message<br><span style=""color:green"">Mensaje de texto </span> | 5, <font size='4.5'> 5 Social media<br><span style=""color:green"">Redes sociales </span> | 6, <font size='4.5'> 6 Other<br><span style=""color:green"">Otro </span>",,,,,,,,,,,,
t4qfint,day_4_thursday_daily_survey,,text,"<font size='5.5'> Please specify.
<span style = ""color:green"">Por favor, especifica.</span>

<span style=""font-weight:normal;""> (I interacted with my <font color=""blue"">father</font> today:)
<span style= ""color:green""> (Yo interactúe con mi <font color=""blue"">padre</font> hoy:)</span>",,,,,,,[t4fint(6)]='1',,,,,,
t4tranf,day_4_thursday_daily_survey,,radio,"<font size=""5.5"">1. Did you translate something from English to Spanish for your <font color=""blue"">father</font> today?

<font color=""green"">¿Tradujiste algo del inglés al español para tu <font color=""blue"">padre</font> el día de hoy?</font>","1, <font size=""4.5""> 1 Yes<br><font color=""green"">Sí</font> | 2, <font size=""4.5""> 2 No<br><font color=""green"">No</font>",,,,,,,,,,,,
t4stre2,day_4_thursday_daily_survey,,descriptive,"<font size=""5.5"">How stressed did you feel when you translated the following things from English to Spanish for your <font color=""blue"">father</font> today?</font>

<font size=""5.5""><font color=""green"">¿Qué tan estresado/a te sentiste cuando tradujiste lo siguiente del inglés al español para tu <font color=""blue"">padre</font> el día de hoy?</font></font>",,,,,,,,,,,,,
t4fstr1,day_4_thursday_daily_survey,,radio,"<font size=""5.5"">1. Phone calls, text messages, or voicemails <span style=""font-weight:normal;"">(for your <font color=""blue"">father</font>)</span></font>

<font size=""5.5""><font color=""green"">Llamadas telefónicas, mensajes de texto, o correos de voz <span style=""font-weight:normal;"">(para tu <font color=""blue"">padre</font>)</span></font>","1, <font size=""4.5""> 1 I didn't translate this for my father today<br><font color=""green"">No traduje esto para mi padre hoy</font> | 2, <font size=""4.5""> 2 Not stressful<br><font color=""green"">Nada estresante</font> | 3, <font size=""4.5""> 3 A little stressful<br><font color=""green"">Un poco estresante</font> | 4, <font size=""4.5""> 4 Somewhat stressful<br><font color=""green"">Algo estresante</font> | 5, <font size=""4.5""> 5 Very stressful<br><font color=""green"">Muy estresante</font> | 6, <font size=""4.5""> 6 Extremely stressful <br><font color=""green"">Extremadamente estresante</font>",,,,,,,,,,,,
